threads,runs,runs_warmup,latency[ms],latency_std,throughput[op/s],throughput_std
1,1000,100,0.042146,1.772768204896516E9,23726.81889793672,0.0
2,1000,100,0.047918,2.292420858185124E9,41752.332408186834,1.5538118641443696E-4
3,1000,100,0.065111,4.24909957025578E9,46279.9795583422,0.0011016400725006998
4,1000,100,0.09076,8.24121412719977E9,44179.35569342835,2.9252077543487E-4
5,1000,100,0.106838,1.1441251919013372E10,47018.64081345574,3.721340423783367E-4
6,1000,100,0.077525,5.999122556700751E9,77481.58663456823,1.8426365192758778E-4
7,1000,100,0.082892,6.88356858098215E9,84791.0853572315,5.952725952939035E-4
8,1000,100,0.09418,8.87495933747694E9,85185.9641824901,3.3071771663293497E-4
9,1000,100,0.108661,1.1835151121076294E10,83201.18233299736,4.0150361636721936E-4
10,1000,100,0.106508,1.13510371719252E10,94144.71408013068,2.497490094306638E-4
11,1000,100,0.093111,8.76550293512438E9,119824.47172219436,0.0018006888742187485
12,1000,100,0.103295,1.0792799212685026E10,117965.56945135574,0.0016802971213974339
13,1000,100,0.108527,1.183360089008801E10,120679.92000930938,6.793991787148635E-4
14,1000,100,0.101871,1.0381824362735203E10,137791.70163628296,2.675601160834976E-4
15,1000,100,0.109514,1.205916068218215E10,138187.53789101486,8.458371393285982E-4
16,1000,100,0.1178,1.3937475991634872E10,136923.90925843542,7.296216903451831E-4
17,1000,100,0.131732,1.739626234588298E10,129752.49577757987,3.4027902827838324E-4
18,1000,100,0.118865,1.4194775050327526E10,152650.06291002632,6.414443752552205E-4
19,1000,100,0.131022,1.72531551991695E10,146197.90638328786,5.413394256937549E-4
20,1000,100,0.168458,2.8504583307204247E10,119556.27454546723,2.6565621239520924E-4
21,1000,100,0.158783,2.5402434584074337E10,133952.06318131398,6.552010312569122E-4
22,1000,100,0.152894,2.354510136025062E10,145493.9557880253,5.764881215734382E-4
23,1000,100,0.186451,3.4942557717337326E10,124341.51748877048,2.6009024582964525E-4
24,1000,100,0.175099,3.0817918624214245E10,138153.18569393922,2.8240652687123015E-4
25,1000,100,0.18589,3.475306625082283E10,135680.28994891513,2.9271130413649764E-4
26,1000,100,0.183094,3.375567217775395E10,143565.21872294744,4.047257076303186E-4
27,1000,100,0.237158,5.658581476209356E10,114988.66348568555,2.270783121666858E-4
28,1000,100,0.19348,3.776848271513158E10,146578.9352047469,3.978874375281374E-4
29,1000,100,0.217507,4.746290205663564E10,134095.53121787647,1.3458782629469364E-4
30,1000,100,0.236948,5.660575922249113E10,128178.2252367021,2.7231308231192983E-4
31,1000,100,0.220976,4.910623900494498E10,141546.65446108635,2.066690029049692E-4
32,1000,100,0.221548,4.958185395737386E10,146485.26078390583,3.4139611401582743E-4
